,track_id,bodypump_release_number,track_title,track_type_id,muscle_group,difficulty,enjoyment,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated
88,11808,118,WINTER IS COMING,08,SHOULDERS,7,3,5:33,333.0,124.0,0.0,2.685483870967742,7800.0,0.8274513688844232,9426.535858555682
89,13103,131,TOXIC,03,CHEST,7,3,,,,,,,,
90,11605,116,TOO FAR GONE,05,TRICEPS,7,3,5:15,315.0,76.0,36.0,4.144736842105263,4950.0,1.5272221650108668,3241.1787318217575
91,12302,123,WATERCOLOUR,02,SQUATS,7,1,5:09,309.0,124.0,0.0,2.4919354838709675,6920.0,0.8462799001585843,8176.963672070271
92,11804,118,MULA,04,BACK,7,3,5:59,359.0,114.0,0.0,3.1491228070175437,5370.0,0.8591111823245312,6250.646145089368
93,11107,111,FACE MY FEARS,07,LUNGES,7,2,6:01,361.0,111.0,45.0,3.2522522522522523,6980.0,1.1260024824872845,6198.920613906215
94,12702,127,WHEN I'M GONE,02,SQUATS,7,1,5:41,341.0,160.0,72.0,2.13125,8560.0,0.7237884162278637,11826.66067607406
95,9903,99,IN THE DARK,03,CHEST,7,3,6:08,368.0,144.0,56.0,2.5555555555555554,7140.0,0.9373977012278294,7616.831138638201
96,10705,107,NO EXCUSES,05,TRICEPS,7,2,4:58,298.0,131.0,64.0,2.2748091603053435,8320.0,0.8382049580314095,9925.973260215707
97,10906,109,SHADOWBOXER,06,BICEPS,8,2,4:59,299.0,118.0,24.0,2.5338983050847457,7340.0,0.7446523985749564,9856.948039174495
98,12707,127,17 (EXTENDED MIX),07,LUNGES,7,2,6:09,369.0,136.0,48.0,2.713235294117647,8710.0,0.9393827537925021,9272.045888468514
99,12308,123,TAKE U THERE,08,SHOULDERS,7,1,4:57,297.0,92.0,0.0,3.2282608695652173,6360.0,0.9946918335708165,6393.940098179366
100,10304,103,I NEED YOU,04,BACK,6,3,,,,,,,,
101,8507,85,SPECTRUM,07,LUNGES,6,5,,,,,,,,
102,10503,105,THE MAN,03,CHEST,6,5,5:25,325.0,104.0,48.0,3.125,5810.0,1.1462743629144654,5068.594559881594
103,9504,95,BLASTERJAXX & DBSTF FEAT. RYDER - BEAUTIFUL WORLD,04,BACK,6,3,5:23,323.0,81.0,0.0,3.9876543209876543,3755.0,1.087870695538151,3451.6969851297135
104,9505,95,IRRESISTIBLE,05,TRICEPS,6,5,4:18,258.0,126.0,16.0,2.0476190476190474,7890.0,0.7544916153069559,10457.372673107902
105,11602,116,THE SQUAT SONG,02,SQUATS,6,5,5:12,312.0,125.0,60.0,2.496,7110.0,0.847660240189911,8387.79461734228
106,10004,100,CREATION,04,BACK,6,3,,,,,,,,
107,12404,124,WON'T MAKE A SOUND,04,BACK,6,3,6:27,387.0,104.0,0.0,3.7211538461538463,4180.0,1.0151667865275784,4117.5499981612575
